Word,Frequency,state
이세돌,632,부정적
축하,624,긍정적
드리다,430,긍정적
진짜,398,긍정적
좋다,370,부정적
보다,350,긍정적
노래,328,부정적
리,300,긍정적
와인,292,긍정적
드,276,긍정적
들다,268,긍정적
있다,250,부정적
오다,250,긍정적
같다,240,부정적
아이돌,240,부정적
되다,230,긍정적
때,194,긍정적
앞,166,긍정적
굳다,158,부정적
뮤비,156,부정적
킹,156,부정적
나오다,148,긍정적
이다,148,부정적
것,142,긍정적
형,138,긍정적
정말,136,긍정적
세계,134,긍정적
더,134,긍정적
처음,130,긍정적
없다,124,부정적
곡,122,긍정적
가다,114,긍정적
회수,110,부정적
버스,110,부정적
화이팅,100,긍정적
응원,96,긍정적
생각,96,긍정적
아니다,96,부정적
듣다,88,긍정적
영원하다,86,부정적
시간,86,긍정적
우리,84,긍정적
내,84,부정적
너,84,긍정적
많다,82,긍정적
만들다,82,긍정적
왁굳님,80,부정적
고생,80,긍정적
그,80,긍정적
지금,80,긍정적
사람,80,긍정적
리와인드,78,부정적
영상,78,긍정적
위,78,긍정적
감사하다,76,긍정적
사랑,76,긍정적
메타,76,긍정적
모르다,74,긍정적
수,74,긍정적
거,74,긍정적
멤버,72,긍정적
되어다,70,부정적
모두,68,긍정적
알다,68,긍정적
감동,64,긍정적
다시,64,긍정적
이렇다,64,긍정적
저,62,긍정적
해주다,62,긍정적
않다,62,부정적
분,62,긍정적
미치다,62,긍정적
나,60,긍정적
넘다,60,부정적
팬,58,긍정적
정도,58,긍정적
벌써,56,긍정적
날,56,긍정적
자다,56,긍정적
항상,56,긍정적
개재,56,긍정적
방송,54,부정적
데뷔,54,긍정적
이제,54,긍정적
차트,54,긍정적
아이,54,긍정적
안,52,긍정적
보고,52,긍정적
가사,52,긍정적
뭐,52,긍정적
대단하다,52,긍정적
유튜브,50,긍정적
퀄리티,50,긍정적
전,48,긍정적
그렇다,48,긍정적
세구,48,부정적
최고,48,부정적
계속,48,긍정적
컨텐츠,48,부정적
찍다,46,긍정적
모든,46,긍정적
노력,46,긍정적
시작,44,부정적
한번,44,긍정적
눈물,44,긍정적
버리다,44,긍정적
말,44,긍정적
또,42,긍정적
남다,42,부정적
행복하다,42,부정적
돼다,42,부정적
느끼다,42,긍정적
개,42,긍정적
비챤,42,부정적
하나,42,긍정적
영차,42,긍정적
진심,40,긍정적
이파리,40,긍정적
그냥,40,긍정적
마지막,40,부정적
릴파,40,부정적
수고,38,긍정적
느낌,38,긍정적
주르르,38,긍정적
꿈,38,긍정적
징,38,긍정적
버거,38,긍정적
나다,36,부정적
제,36,긍정적
입덕,36,긍정적
알,36,긍정적
가즈,36,부정적
걸,36,긍정적
기획,36,부정적
모습,36,긍정적
킹애,36,부정적
대다,36,긍정적
활동,34,긍정적
크다,34,긍정적
오디션,34,부정적
댓글,32,긍정적
차다,32,부정적
내다,32,긍정적
새롭다,32,긍정적
세상,32,긍정적
드가자,32,부정적
뭔가,32,부정적
게,32,긍정적
싶다,32,부정적
어떻다,30,긍정적
왜,30,긍정적
줄,30,긍정적
부분,30,긍정적
이자,30,부정적
기분,30,긍정적
보이다,30,긍정적
달성,30,긍정적
곧,30,긍정적
뒤,28,긍정적
번,28,긍정적
좋아하다,28,긍정적
신,28,긍정적
성공하다,28,부정적
대박,28,긍정적
맞다,28,긍정적
프로젝트,28,부정적
캬,28,부정적
음악,28,긍정적
돌,28,긍정적
과정,28,긍정적
여기,28,긍정적
가슴,26,긍정적
버츄얼,26,부정적
기억,26,긍정적
음색,26,긍정적
멜론,26,긍정적
오늘,26,긍정적
부르다,26,부정적
목소리,26,긍정적
촬영,24,긍정적
감사,24,긍정적
일,24,긍정적
마음,24,긍정적
닿다,24,긍정적
순간,24,긍정적
늘,24,긍정적
스토리,24,긍정적
이번,24,긍정적
그리다,24,긍정적
멋지다,24,긍정적
소름,24,긍정적
지나다,24,긍정적
고,24,긍정적
역시,24,긍정적
실시간,24,긍정적
도,24,긍정적
요,24,긍정적
솔직하다,24,긍정적
팬치,22,부정적
해도,22,긍정적
집,22,긍정적
눈,22,부정적
첫,22,부정적
해,22,부정적
꼭,22,긍정적
찾다,22,긍정적
속,22,긍정적
돋다,22,긍정적
기대하다,22,긍정적
춤,22,긍정적
개인,22,긍정적
좀,22,긍정적
들리다,22,긍정적
추억,22,긍정적
놀라다,22,긍정적
얼마나,20,긍정적
갈다,20,긍정적
느껴지다,20,긍정적
전설,20,긍정적
다음,20,긍정적
명,20,긍정적
천만,20,긍정적
신기하다,20,긍정적
임,20,긍정적
살다,20,긍정적
돌리다,20,긍정적
애,20,긍정적
보여주다,20,긍정적
얼마,20,부정적
여러분,18,긍정적
늦다,18,긍정적
쭉,18,긍정적
상상,18,긍정적
이천만,18,긍정적
추카,18,긍정적
곳,18,긍정적
주다,18,긍정적
어쩌면,18,부정적
이건,18,긍정적
하루,18,부정적
기다리다,18,긍정적
메다,18,부정적
공개,18,긍정적
뭉클하다,18,긍정적
빠지다,18,부정적
인기,18,긍정적
시청자,18,긍정적
레전드,18,부정적
현실,18,긍정적
매력,18,긍정적
찾아보다,18,긍정적
다른,18,긍정적
릴파님,18,긍정적
기대,18,긍정적
택,18,긍정적
커버,18,긍정적
수가,18,긍정적
볼때,18,긍정적
챙기다,18,긍정적
음원,16,부정적
제작,16,부정적
달다,16,긍정적
끝나다,16,부정적
기쁘다,16,긍정적
고맙다,16,긍정적
빠르다,16,긍정적
파이팅,16,긍정적
잊다,16,긍정적
조회,16,부정적
감탄,16,긍정적
감정,16,긍정적
가끔,16,긍정적
달려가다,16,부정적
스럽다,16,긍정적
성장하다,16,긍정적
굳이,16,긍정적
받다,16,부정적
한국,16,긍정적
함,16,긍정적
키딩,16,긍정적
기념,16,긍정적
제발,16,긍정적
기다,16,긍정적
점점,16,긍정적
나중,16,긍정적
치다,16,긍정적
보,16,긍정적
요즘,16,긍정적
네,16,긍정적
보컬,16,부정적
높다,16,긍정적
읍니,16,긍정적
미래,16,긍정적
뜨다,16,긍정적
개추,16,긍정적
씹덕,16,부정적
영,16,긍정적
편집,14,부정적
그룹,14,긍정적
안무,14,부정적
해보다,14,긍정적
미리,14,긍정적
더욱,14,긍정적
도와주다,14,긍정적
언제,14,긍정적
성장,14,긍정적
스트리머,14,긍정적
점,14,긍정적
덕질,14,부정적
누구,14,긍정적
작업,14,긍정적
자체,14,긍정적
잡다,14,부정적
난,14,긍정적
변하다,14,부정적
차원,14,긍정적
달려오다,14,긍정적
로,14,긍정적
재밌다,14,부정적
알고리즘,14,긍정적
기록,14,긍정적
벅스,14,부정적
등,14,긍정적
뮤직,14,부정적
준,14,긍정적
컨셉,14,긍정적
감,14,긍정적
이유,14,긍정적
듯,14,긍정적
정,14,긍정적
앨범,14,부정적
꽃길,14,긍정적
시대,14,긍정적
걷다,14,긍정적
끝,14,긍정적
우왁굳님,14,부정적
지다,14,긍정적
작품,14,긍정적
귀엽다,14,긍정적
캐릭터,14,긍정적
중독,14,긍정적
안남다,14,부정적
동안,12,긍정적
적다,12,긍정적
가사도,12,긍정적
짜다,12,긍정적
끄다,12,부정적
음,12,긍정적
글,12,긍정적
이쁘다,12,부정적
노랗다,12,긍정적
슬프다,12,부정적
만나다,12,긍정적
즐겁다,12,부정적
참여,12,긍정적
바라다,12,부정적
이해,12,긍정적
돌파,12,긍정적
의상,12,긍정적
혼자,12,긍정적
두다,12,긍정적
터지다,12,부정적
어느새다,12,긍정적
전부,12,긍정적
향,12,긍정적
울다,12,부정적
