Comments,Replies
"뮤비 NG컷 모음, 촬영 비하인드 : https://youtu.be/6iMYjfPIPn8
4K 60fps 색보정 버전 : https://youtu.be/jelNkU4mPuA
각종 플랫폼 음원 들으러 가기 : https://fanlink.to/WIdol","뮤비 NG컷 모음, 촬영 비하인드 : https://youtu.be/6iMYjfPIPn8
4K 60fps 색보정 버전 : https://youtu.be/jelNkU4mPuA
각종 플랫폼 음원 들으러 가기 : https://fanlink.to/WIdol"
"뮤비제작에 발가락 담군 팬치입니다
댓글 안 달려했다가 유튜브팬치분들이 알아주셨으면 하는게있어서 달았습니다!
여러분들 반응과 결과가 어떻게 나올지 모르겠지만
왁굳님 정말 촬영 한컷한컷 어떻게 찍을지 고민하시면서 오랜기간동안 다 같이 열심히 촬영하셨고
왁굳님 뮤비 편집도 방송 시작 전 / 방송 끝나신뒤 늦은새벽부터 이른아침까지 안 주무시고 열심히 편집하셨습니다
진짜 왁굳님이 얼마나 진심으로 제작하셨는지 여러분들이 알아주셨으면해서 주저리주저리 적었습니다! 감사합니다!","뮤비제작에 발가락 담군 팬치입니다
댓글 안 달려했다가 유튜브팬치분들이 알아주셨으면 하는게있어서 달았습니다!
여러분들 반응과 결과가 어떻게 나올지 모르겠지만
왁굳님 정말 촬영 한컷한컷 어떻게 찍을지 고민하시면서 오랜기간동안 다 같이 열심히 촬영하셨고
왁굳님 뮤비 편집도 방송 시작 전 / 방송 끝나신뒤 늦은새벽부터 이른아침까지 안 주무시고 열심히 편집하셨습니다
진짜 왁굳님이 얼마나 진심으로 제작하셨는지 여러분들이 알아주셨으면해서 주저리주저리 적었습니다! 감사합니다!"
"진짜 다들 너무 고생많으셨습니다ㅠㅠㅠ 우리 맴버들, 왁굳님, 스텝분들 또 도움을 주신 모든분들 정말 감사드립니다!!
정말 가슴이 벅차네요 너무 너무 감사합니다!!!!!","진짜 다들 너무 고생많으셨습니다ㅠㅠㅠ 우리 맴버들, 왁굳님, 스텝분들 또 도움을 주신 모든분들 정말 감사드립니다!!
정말 가슴이 벅차네요 너무 너무 감사합니다!!!!!"
"리와인드 2000만 축하드려요 
아무리 리와인드보다 좋은 노래가 나온다 해도 리와인드의 그 처음 들었을때의 감동은 못이길거 같다 형과 같이 가사도 짜고 뮤비도 vr에서 직접 찍고 리와인드엔 감동이 있다.. 
이세돌 영원히 함께해
️","리와인드 2000만 축하드려요 
아무리 리와인드보다 좋은 노래가 나온다 해도 리와인드의 그 처음 들었을때의 감동은 못이길거 같다 형과 같이 가사도 짜고 뮤비도 vr에서 직접 찍고 리와인드엔 감동이 있다.. 
이세돌 영원히 함께해
️"
"리와인드 2000만 조회수 축하 드립니다!!!!
데뷔 때부터 봐왔던 팬치 입장에서 너무 나도 기쁩니다.
이세계아이돌은 저에게 처음 진심으로 응원하게 된 아이돌 그룹이고 앞으로도 쭉 응원할 그룹입니다.
형 아이돌 만들어줘서 너무 고마워","리와인드 2000만 조회수 축하 드립니다!!!!
데뷔 때부터 봐왔던 팬치 입장에서 너무 나도 기쁩니다.
이세계아이돌은 저에게 처음 진심으로 응원하게 된 아이돌 그룹이고 앞으로도 쭉 응원할 그룹입니다.
형 아이돌 만들어줘서 너무 고마워"
"(왜 자꾸 댓글이 사라지는걸까요..
)
안녕하세요! 싸비 하이라이트 b 안무을 맡은 현직 댄서로 일하고 있는 김정음이라고 합니다!
평소 왁굳님 영상을 유튜브로 라이트하게 즐겨봤었는데 몇개월 전 커뮤니티에 올라온 안무 공모전 글을 보고 
한번 해보기나 할까 하고 안무를 짜서 올렸는데
이렇게 채택이 될 줄은 상상도 못했네요..
작은 부분이지만 채택해주신 왁굳님 정말정말 감사드리고 안무 이쁘게 소화해주신 이세돌 멤버분들도 정말 감사드립니다!!
 앞으로 남은 이세돌의 활동과 왁굳님 언제나 응원하겠습니다!","(왜 자꾸 댓글이 사라지는걸까요..
)
안녕하세요! 싸비 하이라이트 b 안무을 맡은 현직 댄서로 일하고 있는 김정음이라고 합니다!
평소 왁굳님 영상을 유튜브로 라이트하게 즐겨봤었는데 몇개월 전 커뮤니티에 올라온 안무 공모전 글을 보고 
한번 해보기나 할까 하고 안무를 짜서 올렸는데
이렇게 채택이 될 줄은 상상도 못했네요..
작은 부분이지만 채택해주신 왁굳님 정말정말 감사드리고 안무 이쁘게 소화해주신 이세돌 멤버분들도 정말 감사드립니다!!
 앞으로 남은 이세돌의 활동과 왁굳님 언제나 응원하겠습니다!"
김필영어학원 7층 중등관 4번 강의실 제일 왼쪽 뒤 책상에 이 노래 가사 빼곡히 적은놈 자수해라 원장쌤 화나셨다,김필영어학원 7층 중등관 4번 강의실 제일 왼쪽 뒤 책상에 이 노래 가사 빼곡히 적은놈 자수해라 원장쌤 화나셨다
"2000만 진짜 축하드립니다! 
️
이세돌 결성부터 곡만들어지고 뮤비나오고 데뷔하고.. 벌써 2년전이란게 시간 참 빠르게 가네요 1집이 벌써 2000만회라니... 앞으로도 이세돌 파이팅입니다!","2000만 진짜 축하드립니다! 
️
이세돌 결성부터 곡만들어지고 뮤비나오고 데뷔하고.. 벌써 2년전이란게 시간 참 빠르게 가네요 1집이 벌써 2000만회라니... 앞으로도 이세돌 파이팅입니다!"
"미리 2000만 축하드립니다.
참 리와인드는 좋은노래인것 같네요.
처음 들을때는 감동적이고,
행복할때 들을때는 더욱 행복해지고,
슬플때 들을때는 슬펐던 일이 잊어지고,
들을때 마다 여러 생각이 드는 노래라 참 좋은것 같네요.
다시한번 이세계아이돌의 데뷔곡이자,
영원한 저의 최애곡 리와인드 2000만을 축하드립니다","미리 2000만 축하드립니다.
참 리와인드는 좋은노래인것 같네요.
처음 들을때는 감동적이고,
행복할때 들을때는 더욱 행복해지고,
슬플때 들을때는 슬펐던 일이 잊어지고,
들을때 마다 여러 생각이 드는 노래라 참 좋은것 같네요.
다시한번 이세계아이돌의 데뷔곡이자,
영원한 저의 최애곡 리와인드 2000만을 축하드립니다"
"이세돌 촬영 제작 도와주신 모두 정말 수고하셨습니다(o;TωT)o 정말 뜻깊은 경험이었고 평생 잊지 못할거에요!! 도와주시고 응원한만큼 아니 더더더더 열심히 활동하겠습니다!!! 다시 한번 감사합니다!!(,,• •,,)","이세돌 촬영 제작 도와주신 모두 정말 수고하셨습니다(o;TωT)o 정말 뜻깊은 경험이었고 평생 잊지 못할거에요!! 도와주시고 응원한만큼 아니 더더더더 열심히 활동하겠습니다!!! 다시 한번 감사합니다!!(,,• •,,)"
