Word,Frequency
이세돌,632
축하,624
드리다,430
진짜,398
좋다,370
보다,350
노래,328
리,300
와인,292
드,276
들다,268
있다,250
오다,250
같다,240
아이돌,240
되다,230
때,194
앞,166
굳다,158
뮤비,156
킹,156
나오다,148
이다,148
것,142
형,138
정말,136
세계,134
더,134
처음,130
없다,124
곡,122
가다,114
회수,110
버스,110
화이팅,100
응원,96
생각,96
아니다,96
듣다,88
영원하다,86
시간,86
우리,84
내,84
너,84
많다,82
만들다,82
왁굳님,80
고생,80
그,80
지금,80
사람,80
리와인드,78
영상,78
위,78
감사하다,76
사랑,76
메타,76
모르다,74
수,74
거,74
멤버,72
되어다,70
모두,68
알다,68
감동,64
다시,64
이렇다,64
저,62
해주다,62
않다,62
분,62
미치다,62
나,60
넘다,60
팬,58
정도,58
벌써,56
날,56
자다,56
항상,56
개재,56
방송,54
데뷔,54
이제,54
차트,54
아이,54
안,52
보고,52
가사,52
뭐,52
대단하다,52
유튜브,50
퀄리티,50
전,48
그렇다,48
세구,48
최고,48
계속,48
컨텐츠,48
찍다,46
모든,46
노력,46
시작,44
한번,44
눈물,44
버리다,44
말,44
또,42
남다,42
행복하다,42
돼다,42
느끼다,42
개,42
비챤,42
하나,42
영차,42
진심,40
이파리,40
그냥,40
마지막,40
릴파,40
수고,38
느낌,38
주르르,38
꿈,38
징,38
버거,38
나다,36
제,36
입덕,36
알,36
가즈,36
걸,36
기획,36
모습,36
킹애,36
대다,36
활동,34
크다,34
오디션,34
댓글,32
차다,32
내다,32
새롭다,32
세상,32
드가자,32
뭔가,32
게,32
싶다,32
어떻다,30
왜,30
줄,30
부분,30
이자,30
기분,30
보이다,30
달성,30
곧,30
뒤,28
번,28
좋아하다,28
신,28
성공하다,28
대박,28
맞다,28
프로젝트,28
캬,28
음악,28
돌,28
과정,28
여기,28
가슴,26
버츄얼,26
기억,26
음색,26
멜론,26
오늘,26
부르다,26
목소리,26
촬영,24
감사,24
일,24
마음,24
닿다,24
순간,24
늘,24
스토리,24
이번,24
그리다,24
멋지다,24
소름,24
지나다,24
고,24
역시,24
실시간,24
도,24
요,24
솔직하다,24
팬치,22
해도,22
집,22
눈,22
첫,22
해,22
꼭,22
찾다,22
속,22
돋다,22
기대하다,22
춤,22
개인,22
좀,22
들리다,22
추억,22
놀라다,22
얼마나,20
갈다,20
느껴지다,20
전설,20
다음,20
명,20
천만,20
신기하다,20
임,20
살다,20
돌리다,20
애,20
보여주다,20
얼마,20
여러분,18
늦다,18
쭉,18
상상,18
이천만,18
추카,18
곳,18
주다,18
어쩌면,18
이건,18
하루,18
기다리다,18
메다,18
공개,18
뭉클하다,18
빠지다,18
인기,18
시청자,18
레전드,18
현실,18
매력,18
찾아보다,18
다른,18
릴파님,18
기대,18
택,18
커버,18
수가,18
볼때,18
챙기다,18
음원,16
제작,16
달다,16
끝나다,16
기쁘다,16
고맙다,16
빠르다,16
파이팅,16
잊다,16
조회,16
감탄,16
감정,16
가끔,16
달려가다,16
스럽다,16
성장하다,16
굳이,16
받다,16
한국,16
함,16
키딩,16
기념,16
제발,16
기다,16
점점,16
나중,16
치다,16
보,16
요즘,16
네,16
보컬,16
높다,16
읍니,16
미래,16
뜨다,16
개추,16
씹덕,16
영,16
편집,14
그룹,14
