Word,Frequency,state
노래,996,긍정적
좋다,966,긍정적
레이브,648,긍정적
있다,564,긍정적
보다,482,긍정적
진짜,460,긍정적
들다,448,긍정적
같다,366,긍정적
되다,338,긍정적
아이돌,290,긍정적
아니다,232,긍정적
듣다,228,긍정적
더,216,긍정적
사랑,214,긍정적
오다,214,긍정적
플리,210,긍정적
없다,210,긍정적
것,202,긍정적
팬,188,긍정적
생각,178,긍정적
사람,172,긍정적
내,170,부정적
얼,166,긍정적
곡,166,긍정적
이다,164,부정적
수,156,긍정적
않다,154,긍정적
음악,152,부정적
버추,150,긍정적
처음,140,긍정적
거,140,긍정적
뮤비,140,긍정적
보고,140,긍정적
쓰다,140,긍정적
자다,136,긍정적
오늘,136,부정적
많다,134,긍정적
때,134,긍정적
말,134,긍정적
싶다,134,긍정적
그냥,134,긍정적
위,132,긍정적
만들다,128,부정적
정말,128,긍정적
좋아하다,126,긍정적
그,126,긍정적
응원,126,긍정적
우리,124,긍정적
입덕,124,긍정적
느낌,122,긍정적
왜,118,긍정적
그렇다,118,긍정적
애,118,긍정적
해주다,116,긍정적
나,114,긍정적
앞,114,긍정적
이렇다,108,긍정적
요즘,108,긍정적
가다,106,긍정적
버츄얼,102,긍정적
영상,100,긍정적
안무,100,긍정적
되어다,96,긍정적
받다,94,긍정적
게,94,긍정적
그룹,90,긍정적
나오다,90,긍정적
저,90,긍정적
너희,90,긍정적
댓글,88,긍정적
멤버,86,긍정적
실력,84,긍정적
얘,84,긍정적
계속,80,긍정적
모르다,78,긍정적
축하,76,긍정적
알다,74,긍정적
하나,74,긍정적
느끼다,74,긍정적
마음,74,긍정적
가수,72,긍정적
임,72,긍정적
진심,72,긍정적
걸,70,긍정적
행복하다,70,긍정적
뭐,70,긍정적
제,70,긍정적
덕질,66,긍정적
또,66,긍정적
개,66,긍정적
가사,64,긍정적
지금,64,긍정적
항상,64,긍정적
이번,62,긍정적
넘다,62,긍정적
이제,62,긍정적
작곡,60,긍정적
고맙다,60,긍정적
자체,58,긍정적
다른,58,긍정적
중,56,긍정적
미치다,56,긍정적
눈,56,긍정적
앨범,54,긍정적
느껴지다,54,긍정적
세상,54,긍정적
돼다,54,긍정적
뜨다,54,긍정적
알,52,긍정적
음중,50,긍정적
좀,50,긍정적
주다,50,긍정적
찾아보다,50,긍정적
안,50,긍정적
부정,50,긍정적
기다리다,50,긍정적
편견,48,긍정적
하루,48,부정적
짜다,48,부정적
부분,48,긍정적
전,44,긍정적
듯,44,긍정적
예쁘다,44,긍정적
믿다,44,긍정적
평,44,긍정적
날,42,긍정적
꿈,42,긍정적
영화,42,긍정적
솔직하다,42,긍정적
버리다,42,긍정적
새롭다,42,긍정적
남자,42,긍정적
맞다,42,긍정적
화이팅,42,긍정적
작사,40,긍정적
보이다,40,부정적
정도,40,긍정적
대단하다,40,긍정적
이유,40,긍정적
아주,40,긍정적
분,40,긍정적
남돌,40,긍정적
일,40,긍정적
봄,40,긍정적
매일,40,부정적
신기하다,38,긍정적
어떻다,38,긍정적
케이팝,38,긍정적
기,38,긍정적
마지막,38,긍정적
요,38,긍정적
끝,38,긍정적
