Comments,Replies
"지나가려다 플며들어 여기까지 온 청년입니다. 실력으로 플레이브 못깜 반박시 커버영상 보고오세요. 심지어 작곡, 작사, 안무, 디렉팅까지 다 직접 하심

처음에는 ‘왜 좋아하지?’ 하고 넘겼다가 노아님 베텔기우스를 시작으로 은호님 랩 커버하신거 듣고 돗자리 깔았습니다. 오래오래 음악해주세요","지나가려다 플며들어 여기까지 온 청년입니다. 실력으로 플레이브 못깜 반박시 커버영상 보고오세요. 심지어 작곡, 작사, 안무, 디렉팅까지 다 직접 하심

처음에는 ‘왜 좋아하지?’ 하고 넘겼다가 노아님 베텔기우스를 시작으로 은호님 랩 커버하신거 듣고 돗자리 깔았습니다. 오래오래 음악해주세요"
얇은 편견만 걷어내면 진짜 엄청나고 많은게 보이는 그룹,얇은 편견만 걷어내면 진짜 엄청나고 많은게 보이는 그룹
현역 군인입니다.생활관에서 하루종일 이거 뮤비랑 음중 계속 돌려보고있습니다.감사합니다,현역 군인입니다.생활관에서 하루종일 이거 뮤비랑 음중 계속 돌려보고있습니다.감사합니다
"드디어 빅뱅 이후에 내 플리를 채울 남돌이 나왔구나 ㅠㅠ 너무 오래걸렸다...
그래 내가 원하던게 이런거였어

노래 , 프로듀싱, 안무, 작사, 작곡 모두 고퀄리티로 가능한 완전체
러닝하면서 이번 앨범, 전 앨범 모두 듣고 있는데 너무 좋다
이런게 가수야 
아이돌도 아티스트 취급 받으려면 이 정도는 되야 한다고","드디어 빅뱅 이후에 내 플리를 채울 남돌이 나왔구나 ㅠㅠ 너무 오래걸렸다...
그래 내가 원하던게 이런거였어

노래 , 프로듀싱, 안무, 작사, 작곡 모두 고퀄리티로 가능한 완전체
러닝하면서 이번 앨범, 전 앨범 모두 듣고 있는데 너무 좋다
이런게 가수야 
아이돌도 아티스트 취급 받으려면 이 정도는 되야 한다고"
"버추얼 아이돌이라고 하면 좀 더 혁신적이거나 난해한 음악을 상상하는 사람들에게
플레이브는 늘 이게 우리의 감성이고 낭만이고 사랑이라고 이야기하는 것 같아서 좋음","버추얼 아이돌이라고 하면 좀 더 혁신적이거나 난해한 음악을 상상하는 사람들에게
플레이브는 늘 이게 우리의 감성이고 낭만이고 사랑이라고 이야기하는 것 같아서 좋음"
"아니 근데 얘네 진짜 대단하지않음..? 한국에밖에 없잖아 이렇게 부드럽게 움직이고 노래 개잘부르는 3d 아이돌 본국으로치는 일본에서도 본적 없음 전세계에서 한국 밖에 없다니까..? 젊은 사람들이 모여 만든 스타트업 기업에서 이런 기술자,작사,작곡,안무가가 있는거 엄청난거 아니냐고..이사람들 외국에 뺏길까봐 너무 무서움..","아니 근데 얘네 진짜 대단하지않음..? 한국에밖에 없잖아 이렇게 부드럽게 움직이고 노래 개잘부르는 3d 아이돌 본국으로치는 일본에서도 본적 없음 전세계에서 한국 밖에 없다니까..? 젊은 사람들이 모여 만든 스타트업 기업에서 이런 기술자,작사,작곡,안무가가 있는거 엄청난거 아니냐고..이사람들 외국에 뺏길까봐 너무 무서움.."
"버츄얼 아이돌이라는 선입견에 가로막혀 여태까지 플레이브의 노래를 듣지 않았는데, BTS의 '작은것들을 위한 시'를 처음 들었을때의 충격을 이 노래에서 받은 것 같다.
플레이브가 버츄얼 아이돌이 아닌 뮤지션으로써 더욱 많은 대중들에게 사랑받을 수 있는 그 날이 오기를 기대해본다.","버츄얼 아이돌이라는 선입견에 가로막혀 여태까지 플레이브의 노래를 듣지 않았는데, BTS의 '작은것들을 위한 시'를 처음 들었을때의 충격을 이 노래에서 받은 것 같다.
플레이브가 버츄얼 아이돌이 아닌 뮤지션으로써 더욱 많은 대중들에게 사랑받을 수 있는 그 날이 오기를 기대해본다."
"룩삼님 보고 왔는데요
여운이 남는다는 게 무슨 말인지 알겠네요..
노래 존나 잘 뽑힘..
왜요왜요왜는 야구 응원가 마냥 머리에 맴돌고..
롱런 하십쇼
지나가던 아재가","룩삼님 보고 왔는데요
여운이 남는다는 게 무슨 말인지 알겠네요..
노래 존나 잘 뽑힘..
왜요왜요왜는 야구 응원가 마냥 머리에 맴돌고..
롱런 하십쇼
지나가던 아재가"
와 기사보고왔는데 생각보다 멋있네 이런세상이 있구나.. 작정하고 만든만큼 너네가 역사에 한획을 그어보거라 ㅋㅋㅋ,와 기사보고왔는데 생각보다 멋있네 이런세상이 있구나.. 작정하고 만든만큼 너네가 역사에 한획을 그어보거라 ㅋㅋㅋ
요즘 케팝 남돌하면 '난해함 9스푼과 약간의 퍼포먼스 1스푼' 이런느낌이 있어서 수록곡 찾아듣지 않는 이상 좋은 곡 발견하기 힘들었는데.. 플레이브는 예전 3세대 아이돌 전성기 시절 감성이 있어서 있던 추억 다 불러 일으킴 자체제작이라는 타이틀도 그렇고 참 재능 많은듯,요즘 케팝 남돌하면 '난해함 9스푼과 약간의 퍼포먼스 1스푼' 이런느낌이 있어서 수록곡 찾아듣지 않는 이상 좋은 곡 발견하기 힘들었는데.. 플레이브는 예전 3세대 아이돌 전성기 시절 감성이 있어서 있던 추억 다 불러 일으킴 자체제작이라는 타이틀도 그렇고 참 재능 많은듯
