Word,Frequency
노래,996
좋다,966
레이브,648
있다,564
보다,482
진짜,460
들다,448
같다,366
되다,338
아이돌,290
아니다,232
듣다,228
더,216
사랑,214
오다,214
플리,210
없다,210
것,202
팬,188
생각,178
사람,172
내,170
얼,166
곡,166
이다,164
수,156
않다,154
음악,152
버추,150
처음,140
거,140
뮤비,140
보고,140
쓰다,140
자다,136
오늘,136
많다,134
때,134
말,134
싶다,134
그냥,134
위,132
만들다,128
정말,128
좋아하다,126
그,126
응원,126
우리,124
입덕,124
느낌,122
왜,118
그렇다,118
애,118
해주다,116
나,114
앞,114
이렇다,108
요즘,108
가다,106
버츄얼,102
영상,100
안무,100
되어다,96
받다,94
게,94
그룹,90
나오다,90
저,90
너희,90
댓글,88
멤버,86
실력,84
얘,84
계속,80
모르다,78
축하,76
알다,74
하나,74
느끼다,74
마음,74
가수,72
임,72
진심,72
걸,70
행복하다,70
뭐,70
제,70
덕질,66
또,66
개,66
가사,64
지금,64
항상,64
이번,62
넘다,62
이제,62
작곡,60
고맙다,60
자체,58
다른,58
중,56
미치다,56
눈,56
앨범,54
느껴지다,54
세상,54
돼다,54
뜨다,54
알,52
음중,50
좀,50
주다,50
찾아보다,50
안,50
부정,50
기다리다,50
편견,48
하루,48
짜다,48
부분,48
전,44
듯,44
예쁘다,44
믿다,44
평,44
날,42
꿈,42
영화,42
솔직하다,42
버리다,42
새롭다,42
남자,42
맞다,42
화이팅,42
작사,40
보이다,40
정도,40
대단하다,40
이유,40
아주,40
분,40
남돌,40
일,40
봄,40
매일,40
신기하다,38
어떻다,38
케이팝,38
기,38
마지막,38
요,38
끝,38
감사하다,36
듣기,36
오히려,36
보여주다,36
나다,36
매력,36
감동,36
내다,36
가보다,36
시작,34
길,34
모습,34
다시,34
한번,34
사실,34
뒤,34
기술,34
스밍,34
지다,34
뭔가,34
직접,32
아티스트,32
대중,32
머리,32
세대,32
차다,32
함,32
방송,32
모든,32
때문,32
누구,32
건,32
준,32
노력,32
심장,32
성공하다,32
기분,32
줄,32
남,30
시간,30
놀라다,30
라이브,30
인간,30
목소리,30
궁금하다,30
지나가다,28
커버,28
모두,28
낭만,28
부르다,28
해보다,28
남다,28
제작,28
속,28
팀,28
난,28
욕,28
데,28
취향,28
이상하다,28
데뷔,28
해,28
먹다,28
가슴,28
블래스트,28
달다,28
눈물,28
빠지다,28
끄다,28
천만,28
여기,26
빅뱅,26
번,26
쉬다,26
거의,26
관심,26
플레이,26
자신,26
곳,26
자랑스럽다,26
드리다,26
친구,26
귀엽다,26
점점,26
무대,26
서로,26
여름,26
음방,26
노아,24
더욱,24
수록,24
팬덤,24
서사,24
돌,24
찍다,24
얼마나,24
회수,24
실제,24
자꾸,24
아름답다,24
안되다,24
생각나다,24
나가다,24
만나다,24
찾다,24
온,22
역사,22
예전,22
대다,22
별,22
살,22
늦다,22
써다,22
자주,22
회사,22
덕분,22
바라다,22
감,22
대해,22
가장,22
꼭,22
옆,22
언제,22
춤,22
순간,22
희망,22
따뜻하다,22
설레다,22
질리다,22
이후,20
감성,20
기대,20
기사,20
힘들다,20
인생,20
이루다,20
누가,20
자기,20
거짓말,20
악플,20
볼,20
보컬,20
장르,20
도전,20
시선,20
멋지다,20
알고리즘,20
보,20
버츄,20
대한,20
밤비,20
발전,20
위로,20
기쁘다,20
소리,20
활동,20
명,20
만,20
늘다,20
역시,20
안질리다,20
다르다,20
종일,18
채우다,18
무슨,18
멋있다,18
시절,18
드라이브,18
겠다,18
분위기,18
뭐라다,18
영어,18
이해,18
전부,18
바이럴,18
올라가다,18
점,18
가지다,18
가지,18
열정,18
가득하다,18
그게,18
힘,18
곧,18
갈다,18
바로,18
살다,18
힘내다,18
찾아오다,18
해내다,18
첫,18
통해,18
더더,18
벅차다,18
중독,18
소식,18
수도,18
유튜브,18
말다,18
나아가다,18
들려주다,18
구독,18
돌리다,16
돌이,16
프로,16
작다,16
존나,16
약간,16
불다,16
인기,16
존재,16
돌판,16
어리다,16
따르다,16
건지다,16
너,16
들이다,16
많아지다,16
별로,16
브라,16
대기업,16
감사,16
예준,16
하민이,16
세계관,16
기다,16
이름,16
해도,16
억,16
본업,16
예,16
파트,16
쎄다,16
완전,16
원래,16
민,16
후회,16
반복,16
무엇,16
확실하다,16
현실,16
사계절,16
캐릭터,16
이세돌,16
들리다,16
방,16
부다,16
심지어,14
오래오래,14
퀄리티,14
늘,14
한국,14
모이다,14
재,14
이상,14
떠나다,14
음악중심,14
높다,14
아담,14
도,14
읽다,14
시대,14
물,14
신나다,14
쪽,14
깊다,14
음,14
인정,14
개인,14
제일,14
글,14
그대로,14
또한,14
얼다,14
보기,14
따다,14
이건,14
선물,14
스토리,14
거부,14
옛날,14
멜로디,14
넣다,14
들어오다,14
여섯,14
장벽,14
바뀌다,14
성장하다,14
과정,14
신곡,14
맘,14
형,14
즐겁다,14
기존,14
차,14
건가,14
영원하다,14
작업,14
생기다,14
제발,14
젠,14
벅차오르다,14
날씨,14
웃다,14
크다,14
챙기다,14
좋아지다,14
집중,14
옴,14
노,14
뮤밍,14
며,12
걷다,12
듀싱,12
이야기,12
의,12
돌다,12
발견,12
재능,12
조금,12
표현,12
본인,12
춤추다,12
그때,12
담기다,12
나이,12
받아들이다,12
모,12
여러분,12
다양하다,12
해봤다,12
뭘,12
아끼다,12
비주,12
능력,12
똑같다,12
아이,12
돌아오다,12
남기다,12
중요하다,12
본질,12
거리,12
빠져들다,12
달,12
버튜버,12
뛰다,12
낯선,12
걱정,12
기도,12
잊다,12
손,12
야하다,12
걸다,12
이기,12
가사도,12
햄,12
삶,12
무시,12
플하,12
먼저,12
진입,12
당신,12
추천,12
행복,12
막,12
아침,12
어제,12
콘서트,12
여,12
찬,12
퀄,12
노랑,12
연습,12
소통,12
소중하다,12
음색,12
벌써,12
동네,12
스스로,12
놀람,12
빛,12
컴백,12
새,12
아쉽다,12
평생,12
장점,12
뿐,12
위해,12
고,12
전곡,12
뿌듯하다,12
자랑,12
여기다,12
대박,12
재밌다,12
버블,12
귀,12
외계인,12
뷰,12
일이,12
베이스,12
감정,12
보내다,12
나서다,12
매번,12
밤,12
베텔기우스,10
은호,10
깔다,10
걸리다,10
가능하다,10
네,10
전성기,10
보임,10
겉모습,10
포인트,10
투표,10
닮다,10
리스닝,10
이르다,10
담다,10
굳이,10
귀하다,10
안녕하다,10
무섭다,10
마케팅,10
미래,10
인,10
요소,10
사이,10
색안경,10
끼,10
싫다,10
최고,10
잘생기다,10
기회,10
리,10
분야,10
요새,10
아프다,10
몇개,10
파다,10
아예,10
국내,10
아래,10
금,10
다섯,10
이쁘다,10
본진,10
바,10
꽃길,10
머글,10
생소하다,10
즐기다,10
객관,10
단단하다,10
빌보드,10
로만,10
향수,10
짐,10
일단,10
가깝다,10
흘리다,10
안좋다,10
애니,10
평가,10
증명,10
못,10
놓다,10
수많다,10
핑크,10
고생,10
최애,10
잇다,10
인정받다,10
편안하다,10
봄바람,10
움,10
레전드,10
분명,10
내내,10
공짜,10
청량하다,10
내려가다,10
배경,10
숨다,10
힘드다,10
나르다,10
넘치다,10
보시,10
부탁드리다,10
바꾸다,10
만해,10
관계,10
높이,10
쓸다,10
겁나다,10
컨셉,10
뮤직비디오,10
저희,10
절대,10
당하다,10
끼리,10
주년,10
뜨겁다,10
댄스,10
다가오다,10
길이,10
가상,10
빛나다,10
무언가,10
쭉,10
하이,10
후,10
카페,10
짱,10
찰떡,10
빤짝,10
형태,10
볼때,10
비,10
디렉팅,8
랩,8
개다,8
전세계,8
스타트업,8
선입견,8
뮤지션,8
마냥,8
찾아듣다,8
타이틀,8
한계,8
너머,8
보지,8
당황,8
스럽다,8
서투르다,8
잠깐,8
감히,8
추다,8
바쁘다,8
스타일,8
공중파,8
멜론,8
차트,8
설명,8
단순하다,8
그것,8
깊이,8
적,8
특유,8
수가,8
고민,8
경우,8
밴드,8
타팬,8
스펙,8
룩삼,8
부터,8
팝,8
순수하다,8
편지,8
말씀,8
상당하다,8
비난,8
괜찮다,8
작년,8
묘,8
등,8
성과,8
낼,8
들어서다,8
뽑다,8
동안,8
만큼,8
과,8
늘어나다,8
멀다,8
자세,8
여정,8
우린,8
비다,8
멀리,8
어디,8
접,8
맛,8
미안하다,8
누군가,8
유튭,8
년,8
반응,8
크게,8
상처,8
얼마,8
새벽,8
닿다,8
숙제,8
로서,8
누르다,8
만이,8
다니다,8
무조건,8
달달,8
플브,8
승승장구,8
갖다,8
타,8
나쁘다,8
음원,8
파이팅,8
이자,8
편하다,8
가끔,8
자리,8
일상,8
로써,8
녹음,8
준비,8
단,8
올려주다,8
벽,8
쇼츠,8
깨,8
해오다,8
발매,8
겁니다,8
울,8
거기,8
만화,8
첨,8
란,8
그동안,8
당연하다,8
지켜보다,8
하이라이트,8
문화,8
발라드,8
제대로,8
박다,8
용기,8
아깝다,8
특별하다,8
완벽하다,8
영광,8
시키다,8
세계,8
기르다,8
겨우,8
운명,8
불,8
이끌다,8
케미,8
박히다,8
하루하루,8
다가,8
된거,8
외우다,8
독자,8
천재,8
잡고,8
검다,8
매우,8
아련하다,8
적응,8
도은호,8
성격,8
깨다,8
건강하다,8
기억,8
배우다,8
끝나다,8
어울리다,8
웨폴럽,8
계절,8
상미,8
보고오다,6
넘기다,6
얇다,6
엄청나다,6
난해하다,6
치다,6
본적,6
안무가,6
외국,6
충격,6
사랑받다,6
룩삼님,6
맴돌다,6
획,6
퍼포먼스,6
추억,6
가득,6
부족하다,6
화면,6
아마,6
문특,6
창작,6
참여,6
포기,6
친절하다,6
뜻,6
캐치,6
방향,6
힐링,6
코어,6
불가능,6
유일하다,6
좌표,6
반갑다,6
깔끔하다,6
신고,6
거지,6
차이,6
망하다,6
어려움,6
계기,6
막다,6
짙다,6
감다,6
외모,6
그만하다,6
선,6
우상,6
상황,6
부끄럽다,6
질,6
와우,6
돈,6
뛰어나다,6
관련,6
부럽다,6
봄날,6
틀다,6
층,6
구경,6
갈증,6
찡하다,6
결과물,6
죄송하다,6
로,6
완료,6
호감,6
한국어,6
내주다,6
와중,6
빠르다,6
이미지,6
주,6
야근,6
인하다,6
니,6
자격,6
플,6
부,6
끊다,6
향,6
대한민국,6
꽃,6
생,6
밝다,6
입증,6
유입,6
덕,6
방탄,6
게다가,6
승부,6
서다,6
몇번,6
짜릿하다,6
잉,6
입,6
조합,6
영원,6
꽤,6
가리다,6
지나다,6
타고,6
지난,6
지나치다,6
이전,6
몇,6
일반,6
갑자기,6
법,6
외치다,6
소름,6
사녹,6
루트,6
심하다,6
이면,6
해외,6
인물,6
판단,6
스며들다,6
꽉,6
이어도,6
살리다,6
하트,6
어깨,6
스,6
들어가다,6
가요,6
대가,6
싸다,6
신인,6
숏츠,6
채,6
봉구,6
킬링,6
귀로,6
흥얼거리다,6
클릭,6
조회,6
겪다,6
냥,6
줌,6
나타나다,6
울다,6
지치다,6
자연스럽다,6
동생,6
그리다,6
노랗다,6
고개,6
무너지다,6
떨어지다,6
이기다,6
며칠,6
웃기다,6
운전,6
비너스,6
갈수록,6
흔들다,6
성적,6
자부심,6
애니메이션,6
리스트,6
사고,6
자연,6
적다,6
이분,6
얼굴,6
거구,6
발,6
공식,6
써주다,6
나중,6
몸,6
가면,6
웨이,6
극락,6
흥,6
방이,6
뭉클하다,6
여전하다,6
한마디,6
인식,6
지키다,6
알아보다,6
잘뽑다,6
호기심,6
빼다,6
보이,6
라인,6
모험,6
구나,6
자극,6
건강,6
마치,6
배,6
유명하다,6
처럼,6
자,6
질리,6
만난,6
성장,6
터지다,6
지피다,6
구간,6
소속사,6
초반,6
다,6
유쾌하다,6
전혀,6
비슷하다,6
상태,6
짤,6
오류,6
등등,6
맞닿다,6
눈물나다,6
다음,6
큰일,6
월,6
틀,6
정신,6
테라,6
상,6
구르다,6
풀리다,6
보라색,6
저격,6
유성,6
푹,6
겨울,6
달라,6
테,6
재송합니,6
평플,6
다해,6
일주일,6
정복,6
달리다,6
울리다,6
돌아가다,6
왤케,6
던지다,6
산책,6
성공,6
웨포럽,6
타다,6
마주치다,6
여행,6
열다,6
간다,6
알려지다,6
이파리,6
알아주다,6
명곡,6
내일,6
릴레이,6
당사,6
지구,6
틀어놓다,6
친친,6
황홀하다,6
출석,6
팅,6
호,6
시,4
돗자리,4
완전체,4
취급,4
거나,4
상상,4
일본,4
기술자,4
여태,4
뽑히다,4
롱런,4
쇼,4
상이,4
케팝,4
스푼,4
일으키다,4
후렴,4
버스,4
아이러니,4
찌다,4
적용,4
말임,4
얘기,4
꾸준하다,4
일반인,4
파워,4
풀,4
포지션,4
서정,4
떡,4
공부,4
판이,4
인지도,4
현재,4
사라지다,4
왜냐면,4
기록,4
특정,4
젤,4
돌고래,4
환영,4
수용,4
묻다,4
동경,4
몫,4
어차피,4
사,4
높아지다,4
상품,4
생활,4
지리다,4
사운드,4
노랜,4
안달,4
대상,4
외,4
별개,4
불러일으키다,4
가뜩이나,4
다정하다,4
날다,4
마음씨,4
따스하다,4
워,4
원,4
벚꽃,4
근본,4
뼈,4
포함,4
상징,4
댓,4
어서,4
투자,4
속도,4
저녁,4
소화,4
뚝스들,4
개념,4
뒤로,4
극복,4
완성,4
가능성,4
팝업,4
밀리다,4
