Comment,Keyword
"진짜 다들 너무 고생많으셨습니다 우리 맴버들 왁굳님 스텝분들 또 도움을 주신 모든분들 정말 감사드립니다
정말 가슴이 벅차네요 너무 너무 감사합니다",Noun
"왁굳님 그리고 도와주신 스태프분들 함께 노력했던 이세계 아이돌 멤버들 모두 너무 감사드립니다 
함께하는 매 순간이 너무 행복해요  앞으로도 더더욱 열심히 하겠습니다",Noun
김필영어학원 층 중등관 번 강의실 제일 왼쪽 뒤 책상에 이 노래 가사 빼곡히 적은놈 자수해라 원장쌤 화나셨다,Noun
이세돌 촬영 제작 도와주신 모두 정말 수고하셨습니다 정말 뜻깊은 경험이었고 평생 잊지 못할거에요 도와주시고 응원한만큼 아니 더더더더 열심히 활동하겠습니다 다시 한번 감사합니다 ,Noun
진짜 보면볼수록 감탄만나오네 진짜 너무 고생많으셨습니다 진짜 뮤비 너무 잘나왔어요이세돌왁굳형 파이팅,Noun
정말 목 빠지게 기다렸습니다 흑흑 최고야 이세돌 최고야 왁굳형,Noun
"뮤비 컷 모음 촬영 비하인드  
  색보정 버전  
각종 플랫폼 음원 들으러 가기  ",Noun
"뮤비제작에 발가락 담군 팬치입니다
댓글 안 달려했다가 유튜브팬치분들이 알아주셨으면 하는게있어서 달았습니다
여러분들 반응과 결과가 어떻게 나올지 모르겠지만
왁굳님 정말 촬영 한컷한컷 어떻게 찍을지 고민하시면서 오랜기간동안 다 같이 열심히 촬영하셨고",Noun
"안녕하세요 이세계 아이돌 리와인드에 작곡편곡악기녹음을 한 영바이브입니다
왁굳님과 이세돌분들의 첫 발돋움에 왁굳형 리믹스만 만들던 제가 이렇게 참여하게 될 수 있었어서 너무 영광이었습니다
앞으로도 좋은  날들만 되시기를 바라겠습니다 아 킹아우왁굳은 신이야 뮤비 개쩔어요 진짜",Noun
오늘 아침에 일어났을 때 눈물이 나온 이유,Noun
으로 이 정도 까지 끌어 올릴 수 있다니  정말 감동입니다  공부가 되었습니다 ,Noun
첫번째 하이라이트 군무 때 세구님이 제가 만든 의상을 입어주셨네요 생각지도 못했는데 감개무량하고 감사합니다이세돌눈나들 번째 공식음원 가즈아 킹아,Noun
"이세돌 오디션부터 지금까지 길다면 길고 짧다면 짧은 시간이었지만 모든 순간이 좋았습니다

좋은 노래와 뮤비 만들어주신 왁굳님과 이세돌 분들 도움주신 분들께 모두 감사드립니다",Noun
이세돌 왁굳형 진짜 고생많으셨습니다나 진짜 울거같아,Noun
이세돌 프로젝트는 시작부터 봐 와서 그런지 더욱 감동입니다 노래 만든다고 다들 고생많으셨고 좋은 노래 감사합니다 잘 듣겠습니다 ,Noun
이정도까지 나왔으면 이제 나 과몰입해도 되지 흑,Noun
한국 버튜버 뮤비가 천만은  역사적인데 ,Noun
"단순 팬아트로 그렸던 그림이 이렇게 기념비적인 데뷔곡의 뮤비 썸네일로까지 사용이 되어부리다니 너무 영광스럽네요
제 썸네일을 보고서 한분이라도 더 이 뮤직비디오를 봐주신다면 정말 행복할 것 같습니다
왁굳님하고 이세돌분들 이 외에 뮤비 촬영하고 편집에 도움주신 분들 전부 고생 많으셨고 멋진 뮤직비디오 만들어주셔서 감사합니다",Noun
키딩도 좋은데 리와인드가 진짜 레전드 인듯 리와인드만의 느낌이있다,Noun
아 맞아 이사람들 가수로 뽑힌거였지,Noun
드가자 적어도 여기계신 구독자 분들은 이세돌멤버 각자각자 얼마나 노력을 하신지 다 아실겁니다 처음 응원했던 순간같이 변함없이 응원하겠습니다  롱런하시고 좋은노래 좋은컨텐츠 너무 감사드립니다,Noun
"비챤 고세구 주르르 아바타를 영상 촬영에 적절하게 사용할수 있도록 여러 수정과 기능추가  전체적인 퀄리티 조정을 담담했습니다 
몇몇 의상들 새로운 컴포넌트 넣어서 작업도 새로 해보고 뮤비 분위기에 맞춰 표정도 새로 만들고 단순 의상 교체외적으로 이것저것 전체적으로 작업한건 정말 많았네요",Noun
"갠적으로 군무씬 대박이다
그리고 전체적인 뮤비 색감 자체도 너무 곡이랑 잘 어울려요
우리 형아 진짜 고생 많았다",Noun
왜 내가 가슴이 벅찰까,Noun
"이제야 비로소 이해되는 뢴트님의 명언 아이돌에게 중요한 것은 스토리 입니다

뮤비를 보니 아이돌들의 성장 스토리가 눈 앞에 펼쳐지면서 눈물이 나네요",Noun
근데 진짜 놀라운게 왁타버스가 뭐 실제 엔터테이먼트 회사도 아니고 경험 도 없는데 세계최초 이세계 아이돌 컨셉 첫 곡 첫 뮤비를 이정도까지 만드는게  대단하다고 생각함,Noun
