Comment,Likes
얇은 편견만 걷어내면 진짜 엄청나고 많은게 보이는 그룹,2900
아니 근데 얘네 진짜 대단하지않음 한국에밖에 없잖아 이렇게 부드럽게 움직이고 노래 개잘부르는  아이돌 본국으로치는 일본에서도 본적 없음 전세계에서 한국 밖에 없다니까 젊은 사람들이 모여 만든 스타트업 기업에서 이런 기술자작사작곡안무가가 있는거 엄청난거 아니냐고이사람들 외국에 뺏길까봐 너무 무서움,2500
지나가는 아재다 니들은 승리할 자격있다  막말로 요즘 아이돌중에 누가 작곡 작사 안무 다 짜냐  걍 너희들은 더 올라가라  앞으로도 버츄얼아이돌은 많이나오겠지만 너희들은 단순히 버츄얼 아이돌이아니라 뮤지션으로 남을거다,1700
"요즘 데뷔하는 다른 그룹들에겐 없고 플레이브에겐 있는 것이 뭔지 진지하게 고민해봤는데 아무래도 낭만인거 같음
케이팝 위상이 엄청 높아진 요즘에 잘생기고 실력 좋은 아이돌은 정말 많지만 그만큼 갈고닦인 모습만 보여야하고 본인들이 하고 싶은 음악보다는 상품성에 치중된 경우가 더 많이 보임
근데 플레이브는 꿈도 재능도 많지만 펼칠 기회가 없었던 아이들이 모여서 누구도 생각하지 못했던 길로 자기들이 하고싶은 음악을 보여주고 있다는 낭만이 있음
그래서인지 아이돌들 투룸 빌라에서 다닥다닥 붙어 숙소 생활하던 시절에 덕질하던 사람들이 다시금 케이팝에 돌아오게 하고 있는것 아닐까
유독 오래전에 돌판 떠났던 사람들이 플레이브 판에 많아서 생각해봄",1500
"좋아하는 데 자꾸 이유를 묻고 설명을 요구하는데 이쪽도 왜 좋아하는지 설명하기 어려움 단순히 아이돌을 좋아했어서  오타쿠라서 플레이브에 입덕했냐고하면 그것도 아니라서  난 아이돌도 도 전부 덕질해봤지만 플레이브처럼 깊이 뭘 동경하고 아끼고 사랑해본 적이 없음 버추얼 특유의 비주얼이나 실력이 입덕 계기가 될 수 있겠지만 탈덕을 막는 요소는 결국 그 안에 있는 사람이 가진 인간미가 아닐까 싶다 플레이브와 플리사이의 깊은 사랑과 팬들간의 짙은 소속감도 한 몫 하고 단순히 외모나 그사람의 능력 그리고 취향 만으로는 이렇게 좋아할 수가 없음 
플레이브를 좋아한다는 것을 가지고 감히 이상하다고 별로라고 말할 이유는 없다고 생각함
어차피 똑같은 사람이고 똑같은 덕질인데색안경끼고 볼 게 아니라 이런 가수도 이런 팬도 있다고 받아들이든지 싫으면 그냥 지나가든지 했으면 좋겠다
그리고 늦었을 때 늦은거라고 입덕은 빨리 하는게 최고더라 입덕 부정 그만하고 그만 욕하고 빨리 앨범사 라이브 봐 스밍해",1200
년 동안 좋아했지만 이제는 플레이브에 밀려 부본진이 되어버린 아이돌도 플레이브 만큼 사랑한적은 없었다뮤비 뜨자마자 초단위로 끊어보면서 감탄하고 잠도 시간만 자고 스밍 돌렸는데 이상하게 오늘 하나도 피곤하지가 않았음    이제는 과  스밍을 향하는 걸 보면서 눈물 날 것 같고 내 일인것처럼 기뻐본적은 처음임어쩌다 이렇게 좋아하게 된건지는 모르겠음,1200
"버추얼 아이돌이라고 하면 좀 더 혁신적이거나 난해한 음악을 상상하는 사람들에게
플레이브는 늘 이게 우리의 감성이고 낭만이고 사랑이라고 이야기하는 것 같아서 좋음",1100
"플레이브야 여기 댓글들 보고 있어 다 응원의 말이고 너네 음악이 좋다는 말들이야 팬인 나도 읽으면 힐링되는데 너네들은 얼마나 행복할까 시간날때 댓글들 읽고 행복해져라
 너희들이 이룬 일들이니까",1100
실력있는 기술자들과 실력있는 가수가 만나 플레이브가 성공할 수 있었던건데 여전히 이곳저곳에선 대기업이니까 역시 대기업 이러면서 마치 플레이브는 대기업이라 성공한 듯 생각하는 사람이 아직도 있더라 쇼케이스 기사 한페이지만 봐도 이런 소리 못함 현실적으로 대기업이 뒷배였으면 여기저기서 곡 받아올 때 급 노래들만 받아왔겠음 콘서트 홀 대관할 때 갖은 무시 당해가며 겨우 대관했겠음  프로모션을 데뷔 년이 다 되어서야 시작했겠음 그냥 작은 스타트업 기술업체가 좋은 결과물을 세상에 내놓을 수 있게 투자를 받은 것일 뿐인데 대기업 단어에 꽂혀서 플레이브와 블래스트의 노력을 폄하하지 않았으면 좋겠음,1100
"대 아재가 인생 처음으로
음악 방송 투표해 봤오
위 너무 축하해 얘들아 ",1000
