댓글,state
이번 콘서트에 바쁜 일정 등 여러가지 이유로 참가하는데 고민이 많으셨다고 들었는데 팬들에게 특별한 선물이 됐습니다 인터뷰해주신 측에도 감사드려요,긍정적
대한민국이 점점 저능아화되어가네,긍정적
이세돌은 찐이다,긍정적
인간은 재밌어 흥미로워,부정적
이세돌 오디션때부터 봐온 사람으로서 세상이 미쳐간다 느끼면서도 이렇게 미쳐가면 꽤 좋을지도,부정적
정작 행사장 운영은 씹창났다며,긍정적
불쌍하네요,부정적
노랜 겁나게 좋음,부정적
우리 우왁굳이형이 대한민국 노래 살렸다,부정적
스브스까지 진출하다니 우리아이돌 최고다,부정적
평범하게 소개해주는줄 알았는게 갑자기 형 나오면서 인터뷰 해서 놀란 팬치는 개추,부정적
이파리에서 이를 빼버리니까 파리가 되버림,긍정적
이게 현대시대,긍정적
오타쿠가 공연도보는군요,긍정적
존중합니다,부정적
일단 주류거나 유행아니면 깔보려는 습성이 있음,부정적
우리 왁굳형이 없어지면이세돌 어케되는거냐,긍정적
버츄얼 아이돌 처음 보지만 왠지음 모시깽한 매력이 있어보이네요 예 앞으로 좋은 활동 기대해봅니다예 킹애,긍정적
200 이세돌 기사 비하,긍정적
세계적 망신이다,긍정적
음 이상해,긍정적
세상이 미쳐가고있어,긍정적
스텔라이브 하위호환,긍정적
데못죽은 버츄얼 안하냐,긍정적
미쳤습니까 휴먼,긍정적
아 눈물나 아 이세돌 뽕,긍정적
우왁굳이 역사를 만든다,부정적
이세돌 보니까 문득 이세계스포츠아이돌 대상혁이 대단하거같다 영원하라,긍정적
전부다 이세돌을 보기위해 모인 자들,부정적
이게 대성할줄은 몰랏는데 시작은 미약했지만 끝은 창대하다의 표본,긍정적
인터뷰 넘 렉 걸려서 아쉽,부정적
벌써 이세페한지 2개월이 지났어 시간참 빨라,긍정적
덕후들이 행동력 하나는 오짐,부정적
어디까지 가는거야,부정적
몇달전만 해도 나도 저 악플러들과 같은 생각이였다 입덕하는건 한순간 이세돌 사랑해,부정적
어차피 아이돌은 가상의 이미지를 파는 상품이다,긍정적
모두가 주인공입니다,긍정적
소두우왁굳미칫다,긍정적
홀로라이브가 더 낫다,긍정적
킹 아,부정적
왁굳형어디까지가,부정적
이 모든것을 왁굳형이 새삼 대단해보이네,부정적
태어날때부터 스마트폰을 보고 쥐고 살아왔으면 이해가지,부정적
뒤에서 손가락빨면서 영상처띄우는게 정상이냐,긍정적
음중 10위도 들었는데 가능할지도,긍정적
스브스 분들 감사합니다 이세페에 출연해주신 모든 아티스트분들도 이세계페스티벌이란것은 낯설으셨을건데 참가해주셔서 모두 모두 감사했습니다 참가하셨었던 아티스트팬분들도 저희를 좋게 봐주셨었다고 들어서 기뻤습니다,부정적
이세돌 성공했구나자랑스럽다 고세구,긍정적
챌린지로 노래를 알았는데 인터뷰까지 찍었네,긍정적
인기가요 가즈아,긍정적
